county,TAZ,tm15,link21,jobs
6075,1,FPSEMPN,FIRE,327
6075,1,HEREMPN,HIED,5
6075,1,HEREMPN,HMED,7
6075,1,HEREMPN,PERS,14
6075,1,HEREMPN,RECS,683
6075,1,MWTEMPN,MFRG,26
6075,1,MWTEMPN,WTWT,17
6075,1,MWTEMPN,UTIL,1
6075,1,OTHEMPN,CONS,27
6075,1,OTHEMPN,GOVT,291
6075,1,RETEMPN,RETL,5
6075,1,AGREMPN,FFRE,3
6075,2,FPSEMPN,FIRE,1586
6075,2,HEREMPN,HMED,63
6075,2,HEREMPN,K12E,340
6075,2,HEREMPN,PERS,36
6075,2,HEREMPN,RECS,27
6075,2,HEREMPN,SOCS,40
6075,2,MWTEMPN,MFRG,66
6075,2,OTHEMPN,FIRE,250
6075,2,OTHEMPN,CONS,55
6075,2,RETEMPN,RETL,129
6075,2,RETEMPN,RETR,75
6075,3,FPSEMPN,FIRE,2954
6075,3,HEREMPN,HIED,91
6075,3,HEREMPN,HMED,964
6075,3,HEREMPN,K12E,116
6075,3,HEREMPN,PERS,264
6075,3,HEREMPN,RECS,3488
6075,3,HEREMPN,SOCS,41
6075,3,MWTEMPN,MFRG,268
6075,3,MWTEMPN,WTWT,456
6075,3,OTHEMPN,FIRE,1125
6075,3,OTHEMPN,CONS,377
6075,3,OTHEMPN,GOVT,558
6075,3,RETEMPN,RETL,905
6075,3,RETEMPN,RETR,187
6075,3,AGREMPN,FFRE,3
6075,4,FPSEMPN,FIRE,195
6075,4,HEREMPN,HIED,95
6075,4,HEREMPN,HMED,4
6075,4,HEREMPN,K12E,17
6075,4,HEREMPN,PERS,15
6075,4,HEREMPN,RECS,167
6075,4,HEREMPN,SOCS,15
6075,4,MWTEMPN,MFRG,4
6075,4,MWTEMPN,WTWT,16
6075,4,OTHEMPN,FIRE,108
6075,4,OTHEMPN,CONS,69
6075,4,OTHEMPN,GOVT,88
6075,4,RETEMPN,RETL,86
6075,4,AGREMPN,FFRE,1
6075,5,FPSEMPN,FIRE,781
6075,5,HEREMPN,HIED,18
6075,5,HEREMPN,HMED,16
