county,TAZ,tm15,link21,jobs
6001,1530,FPSEMPN,FIRE,307
6001,1530,HEREMPN,HIED,17
6001,1530,HEREMPN,HMED,202
6001,1530,HEREMPN,K12E,86
6001,1530,HEREMPN,PERS,126
6001,1530,HEREMPN,RECS,283
6001,1530,HEREMPN,SOCS,46
6001,1530,MWTEMPN,MFRG,167
6001,1530,MWTEMPN,WTWT,130
6001,1530,OTHEMPN,CONS,72
6001,1530,OTHEMPN,FIRE,17
6001,1530,OTHEMPN,GOVT,66
6001,1530,RETEMP,RETL,62
6001,1530,RETEMP,RETR,27
6001,1531,FPSEMPN,FIRE,65
6001,1531,HEREMPN,HIED,4
6001,1531,HEREMPN,HMED,4
6001,1531,HEREMPN,PERS,14
6001,1531,HEREMPN,RECS,32
6001,1531,MWTEMPN,WTWT,5
6001,1531,OTHEMPN,CONS,11
6001,1531,RETEMP,RETL,13
6001,1532,HEREMPN,HMED,9
6001,1532,HEREMPN,K12E,103
6001,1532,HEREMPN,PERS,4
6001,1532,HEREMPN,RECS,12
6001,1532,HEREMPN,SOCS,8
6001,1532,OTHEMPN,CONS,13
6001,1533,FPSEMPN,FIRE,5
6001,1533,HEREMPN,HMED,7
6001,1533,HEREMPN,PERS,5
6001,1533,HEREMPN,SOCS,16
6001,1533,MWTEMPN,MFRG,2
6001,1533,MWTEMPN,WTWT,57
6001,1533,OTHEMPN,CONS,3
6001,1534,FPSEMPN,FIRE,16
6001,1534,HEREMPN,HIED,5
6001,1534,HEREMPN,HMED,2
6001,1534,HEREMPN,K12E,89
6001,1534,HEREMPN,PERS,18
6001,1534,HEREMPN,RECS,36
6001,1534,HEREMPN,SOCS,8
6001,1534,MWTEMPN,WTWT,6
6001,1534,OTHEMPN,CONS,5
6001,1534,RETEMP,RETL,94
6001,1535,AGREMPN,FFRE,2
6001,1535,FPSEMPN,FIRE,201
6001,1535,HEREMPN,HIED,25
6001,1535,HEREMPN,HMED,91
6001,1535,HEREMPN,K12E,41
6001,1535,HEREMPN,PERS,107
6001,1535,HEREMPN,RECS,241
6001,1535,HEREMPN,SOCS,11
6001,1535,MWTEMPN,MFRG,7
6001,1535,MWTEMPN,WTWT,17
6001,1535,OTHEMPN,CONS,34
6001,1535,OTHEMPN,FIRE,34
6001,1535,RETEMP,RETL,85
6001,1535,RETEMP,RETR,18
6001,1536,FPSEMPN,FIRE,58
6001,1536,HEREMPN,PERS,4
6001,1536,HEREMPN,RECS,30
6001,1536,OTHEMPN,CONS,12
6001,1536,OTHEMPN,FIRE,79
6001,1537,FPSEMPN,FIRE,6
6001,1537,HEREMPN,PERS,12
6001,1537,HEREMPN,RECS,5
6001,1538,AGREMPN,FFRE,7
6001,1538,FPSEMPN,FIRE,48
6001,1538,HEREMPN,HMED,3
6001,1538,HEREMPN,PERS,5
6001,1538,HEREMPN,SOCS,1
6001,1538,MWTEMPN,MFRG,6
6001,1538,MWTEMPN,WTWT,2
6001,1538,OTHEMPN,CONS,14
6001,1538,OTHEMPN,FIRE,7
6001,1538,RETEMP,RETL,2
6001,1539,AGREMPN,FFRE,3
6001,1539,FPSEMPN,FIRE,84
6001,1539,HEREMPN,PERS,28
6001,1539,HEREMPN,RECS,136
6001,1539,MWTEMPN,MFRG,15
6001,1539,OTHEMPN,CONS,8
6001,1539,OTHEMPN,FIRE,20
6001,1539,RETEMP,RETL,6
6001,1539,RETEMP,RETR,15
6001,1540,FPSEMPN,FIRE,356
6001,1540,FPSEMPN,UTIL,204
6001,1540,HEREMPN,HIED,6
6001,1540,HEREMPN,HMED,68
6001,1540,HEREMPN,K12E,122
6001,1540,HEREMPN,PERS,328
6001,1540,HEREMPN,RECS,108
6001,1540,HEREMPN,SOCS,17
6001,1540,MWTEMPN,MFRG,21
6001,1540,MWTEMPN,UTIL,4
6001,1540,MWTEMPN,WTWT,73
6001,1540,OTHEMPN,CONS,85
6001,1540,OTHEMPN,FIRE,72
6001,1540,OTHEMPN,GOVT,11
6001,1540,RETEMP,RETL,84
6001,1540,RETEMP,RETR,20
6001,1541,AGREMPN,FFRE,13
6001,1541,FPSEMPN,FIRE,247
6001,1541,HEREMPN,HIED,14
6001,1541,HEREMPN,HMED,75
6001,1541,HEREMPN,K12E,373
6001,1541,HEREMPN,PERS,63
6001,1541,HEREMPN,RECS,368
6001,1541,HEREMPN,SOCS,50
6001,1541,MWTEMPN,MFRG,1
