taz,rdm_zones,super_district,county
1,75,26,4
2,32,32,8
3,48,16,4
4,25,11,6
5,139,23,7
6,120,17,1
7,23,28,2
8,120,10,8
9,238,14,4
10,199,4,8
11,273,15,5
12,298,2,3
13,158,6,1
14,189,1,6
15,85,26,9
16,277,6,3
17,106,24,5
18,213,12,4
19,140,21,9
20,47,2,5
21,52,12,5
22,224,24,2
23,119,4,9
24,110,13,6
25,160,7,8
26,9,10,4
27,24,23,9
28,203,3,1
29,163,16,2
30,59,10,7
31,222,9,1
32,254,18,3
33,259,19,6
34,200,12,7
35,201,14,3
36,8,13,7
37,99,9,6
38,272,17,3
39,142,30,1
40,284,21,3
41,122,26,6
42,94,8,6
43,92,26,7
44,33,15,7
45,185,24,4
46,179,18,7
47,103,9,8
48,152,12,2
49,51,1,1
50,251,13,8
51,90,28,6
52,281,15,2
53,144,27,1
54,200,3,8
55,243,8,7
56,259,32,2
57,296,11,3
58,237,16,8
59,295,26,6
60,167,21,2
61,147,23,3
62,218,14,6
63,7,20,2
64,25,12,1
65,68,24,8
66,265,27,9
67,71,7,9
68,292,4,1
69,162,30,5
70,266,15,7
71,112,12,3
72,290,4,9
73,32,30,9
74,291,14,3
75,43,29,1
76,137,7,2
77,37,22,4
78,146,27,2
79,200,11,2
80,213,9,4
81,28,16,6
82,52,4,9
83,118,1,7
84,202,26,4
85,267,27,7
86,76,26,6
87,186,27,2
88,102,3,9
89,120,25,8
90,190,19,1
91,241,6,3
92,123,20,1
93,180,22,1
94,119,19,2
95,14,28,9
96,86,14,4
97,268,8,4
98,230,19,7
99,28,20,2
100,168,20,4
101,258,9,8
102,104,3,7
103,82,16,1
104,19,19,4
105,236,6,4
106,164,4,5
107,14,31,2
108,266,18,7
109,33,27,8
110,12,9,7
111,296,31,6
112,12,16,3
113,32,29,4
114,39,29,5
115,236,14,4
116,283,32,6
117,269,18,6
118,35,20,7
119,143,26,7
120,110,17,4
121,24,20,5
122,43,31,2
123,220,28,4
124,176,19,8
125,28,11,2
126,157,8,4
